EmployeeID,Name,Department,Location,Grade,MonthlySalary,OvertimeHours,OvertimePay,AbsenceDays,PerformanceRating,AttritionRiskScore,PromotionEligible,Month
EMP00001,Barbara Nguyen,HR,New York,G1,4631.41,1,40.08,0,3.6,13,FALSE,Jan
EMP00001,Barbara Nguyen,HR,New York,G1,4649.94,7,281.68,3,3.3,22,FALSE,Feb
EMP00001,Barbara Nguyen,HR,New York,G1,4673.09,10,404.41,2,3.4,14,FALSE,Mar
EMP00001,Barbara Nguyen,HR,New York,G1,4700.88,4,162.73,1,3.4,15,FALSE,Apr
EMP00002,Patricia Scott,Sales,Toronto,G1,3206.13,2,55.49,2,3.5,27,FALSE,Jan
EMP00002,Patricia Scott,Sales,Toronto,G1,3218.95,10,278.57,2,3.7,20,FALSE,Feb
EMP00002,Patricia Scott,Sales,Toronto,G1,3234.99,11,307.95,2,4.0,31,FALSE,Mar
EMP00002,Patricia Scott,Sales,Toronto,G1,3254.22,5,140.81,2,3.7,17,FALSE,Apr
EMP00003,James Carter,Operations,London,G3,9844.24,24,2044.61,3,2.8,35,FALSE,Jan
EMP00003,James Carter,Operations,London,G3,9883.62,19,1625.13,3,3.0,33,FALSE,Feb
EMP00003,James Carter,Operations,London,G3,9932.84,49,4211.99,4,3.0,46,FALSE,Mar
EMP00003,James Carter,Operations,London,G3,9991.90,39,3372.33,1,2.9,45,FALSE,Apr
EMP00004,Carol Miller,Operations,Singapore,G3,8688.80,23,1729.44,0,4.0,31,FALSE,Jan
EMP00004,Carol Miller,Operations,Singapore,G3,8723.56,29,2189.32,3,4.0,30,FALSE,Feb
EMP00004,Carol Miller,Operations,Singapore,G3,8767.00,30,2276.09,1,3.6,22,FALSE,Mar
EMP00004,Carol Miller,Operations,Singapore,G3,8819.13,17,1297.45,0,4.1,20,FALSE,Apr
EMP00005,Sofia Wright,Engineering,Toronto,G3,8748.73,24,1817.08,5,3.4,18,FALSE,Jan
EMP00005,Sofia Wright,Engineering,Toronto,G3,8783.72,15,1140.22,3,3.5,17,FALSE,Feb
EMP00005,Sofia Wright,Engineering,Toronto,G3,8827.47,30,2291.79,1,3.2,24,FALSE,Mar
EMP00005,Sofia Wright,Engineering,Toronto,G3,8879.96,33,2535.96,1,3.1,23,FALSE,Apr
EMP00006,George Torres,Engineering,New York,G5,15762.72,20,2728.22,2,4.1,56,FALSE,Jan
EMP00006,George Torres,Engineering,New York,G5,15825.77,23,3150.00,2,3.8,56,FALSE,Feb
EMP00006,George Torres,Engineering,New York,G5,15904.58,46,6331.37,2,4.0,58,FALSE,Mar
EMP00006,George Torres,Engineering,New York,G5,15999.16,22,3046.05,1,4.0,45,FALSE,Apr
EMP00007,Sandra Kowalski,Operations,Singapore,G3,7746.64,23,1541.91,0,3.6,16,FALSE,Jan
EMP00007,Sandra Kowalski,Operations,Singapore,G3,7777.63,31,2086.54,0,3.8,13,FALSE,Feb
EMP00007,Sandra Kowalski,Operations,Singapore,G3,7816.36,11,744.07,3,3.4,18,FALSE,Mar
EMP00007,Sandra Kowalski,Operations,Singapore,G3,7862.84,33,2245.49,2,3.8,26,FALSE,Apr
EMP00008,Christopher White,Engineering,Remote,G3,9050.91,34,2663.11,0,4.0,78,FALSE,Jan
EMP00008,Christopher White,Engineering,Remote,G3,9087.11,8,629.12,2,4.1,63,FALSE,Feb
EMP00008,Christopher White,Engineering,Remote,G3,9132.37,16,1264.51,2,4.0,60,FALSE,Mar
EMP00008,Christopher White,Engineering,Remote,G3,9186.67,6,477.01,3,4.0,58,FALSE,Apr
EMP00009,Nancy Wright,Finance,Singapore,G2,5747.54,11,547.13,2,4.3,44,TRUE,Jan
EMP00009,Nancy Wright,Finance,Singapore,G2,5770.53,8,399.51,2,4.4,55,TRUE,Feb
EMP00009,Nancy Wright,Finance,Singapore,G2,5799.27,4,200.75,0,4.3,57,TRUE,Mar
EMP00009,Nancy Wright,Finance,Singapore,G2,5833.75,3,151.46,0,4.2,46,FALSE,Apr
EMP00010,Mark Baker,HR,Remote,G2,6294.33,4,217.88,1,3.3,21,FALSE,Jan
EMP00010,Mark Baker,HR,Remote,G2,6319.51,3,164.07,2,3.3,17,FALSE,Feb
EMP00010,Mark Baker,HR,Remote,G2,6350.98,6,329.77,1,2.9,31,FALSE,Mar
EMP00010,Mark Baker,HR,Remote,G2,6388.74,0,0.00,0,3.4,18,FALSE,Apr
EMP00011,Paul Jones,Finance,New York,G4,13704.00,4,474.38,1,3.5,34,FALSE,Jan
EMP00011,Paul Jones,Finance,New York,G4,13758.82,13,1547.90,0,3.7,24,FALSE,Feb
EMP00011,Paul Jones,Finance,New York,G4,13827.34,4,478.65,3,3.6,31,FALSE,Mar
EMP00011,Paul Jones,Finance,New York,G4,13909.56,1,120.37,0,3.5,30,FALSE,Apr
EMP00012,Margaret Adams,Operations,Remote,G4,12868.72,22,2450.05,0,3.6,69,FALSE,Jan
EMP00012,Margaret Adams,Operations,Remote,G4,12920.19,21,2348.04,0,3.6,69,FALSE,Feb
EMP00012,Margaret Adams,Operations,Remote,G4,12984.54,50,5618.42,2,3.7,77,FALSE,Mar
EMP00012,Margaret Adams,Operations,Remote,G4,13061.75,38,4295.39,3,3.7,70,FALSE,Apr
EMP00013,Kimberly Mitchell,Sales,Singapore,G2,7560.73,15,981.46,2,3.1,23,FALSE,Jan
EMP00013,Kimberly Mitchell,Sales,Singapore,G2,7590.97,14,919.69,0,3.0,28,FALSE,Feb
EMP00013,Kimberly Mitchell,Sales,Singapore,G2,7628.78,14,924.27,0,3.3,32,FALSE,Mar
